Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Ceiling Ht,Owner Contact
7106-7154 Hull Street Rd,,Retail (Neighborhood Center),2,,,C,Existing,67512,10009,$12.26 - 14.98 (Est.),Storefront,Richmond,Midlothian E/Hull St,S.L. Nusbaum Realty Co.,"Thomas Langston, CCIM",Southwest,Richmond,VA,23235,Chesterfield,,,,N,10/30/2020,"2,555,454",85.17,1968,,59411,3.40,Multi,12/18/2012,51041C0132D,51041C,0132D,No,100-year and 500-year Floodplain,,"Joshua Peck, CCIM"
9901-10011 Hull Street Rd,Oxbridge Square Shopping Center,Retail (Neighborhood Center),3,,,B,Existing,116240,26945,$14.33 - 17.52 (Est.),,Richmond,Midlothian E/Hull St,S.L. Nusbaum Realty Co.,Andrew Thacker,Southwest,Richmond,VA,23236,Chesterfield,,,,N,1/21/2020,"10,250,000",76.82,1980,1992,116240,5.15,Multi,01/01/1900,,,,No,100-year and 500-year Floodplain,"13'0""",
13602-13728 Hull Street Rd,Harbour Pointe Village,Retail (Neighborhood Center),3,,,B,Existing,123772,7200,$20.74 - 25.35 (Est.),Storefront,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,James Ashby,Southwest,Midlothian,VA,23112-2108,Chesterfield,,,,N,1/12/2012,"20,750,000",97.41,1993,,123772,6.31,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,Alex Nyhan
9963 W Hull Street Rd,Shoney's,Retail (Neighborhood Center),2,,,C,Existing,5116,5116,$16.82 - 20.56 (Est.),Restaurant,Richmond,Midlothian E/Hull St,Cushman & Wakefield | Thalhimer,James Ashby,Southwest,Richmond,VA,23236,Chesterfield,,,,N,,,100.00,1980,,4275,12.71,Multi,12/18/2012,51041C0129D,51041C,0129D,No,100-year and 500-year Floodplain,,Mark Sweeney
10300-10322 Iron Bridge Rd,Chesterfield Meadows West,Retail (Neighborhood Center),4,,,B,Existing,21397,6750,$17.90 - 21.88 (Est.),,Richmond,South Chesterfield,JLL,Spotty Robins,Southwest,Chesterfield,VA,23832,Chesterfield,,,,N,,,74.30,1991,,21397,8.65,Multi,12/18/2012,51041C0307D,51041C,0307D,No,100-year and 500-year Floodplain,,Henry Myers
4531 Laburnum Ave,White Oak Village,Retail (Power Center),3,,,B,Existing,81773,3002,$17.17 - 20.98 (Est.),,Richmond,East End,Colliers | Virginia,Peter Vick,Southeast,Richmond,VA,23231,Henrico,,,,N,10/20/2014,,96.33,2008,,81773,4.20,Multi,12/02/2008,51085C0440B,51087C,0440B,Yes,100-year Floodplain,,
11670 Lakeridge Pky,Shoppes I,Retail (Community Center),3,,,B,Existing,12621,2050,$28.99 - 35.44 (Est.),,Richmond,I-95 Ashland/NW,"Divaris Real Estate, Inc.",Loretta Cataldi,Northwest,Ashland,VA,23005,Hanover,,,,N,7/18/2013,"2,850,000",100.00,2012,,10000,6.40,Multi,12/02/2008,51085C0305B,51085C,0305B,No,100-year and 500-year Floodplain,,Chong Park
1718 E Main St,1718 E. Main Street,Retail,3,,,C,Existing,5516,4538,$16.74 - 20.46 (Est.),Storefront Retail/Residential,Richmond,Downtown,Legend Property Group,Leo Chappell,Downtown,Richmond,VA,23223,Richmond City,,,,N,,,17.73,1910,2021,5516,,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,Kenneth Farino
1201 W Main St,,Retail,2,,,C,Existing,1001,390,$17.73 - 21.67 (Est.),Freestanding,Richmond,Near West End,,,Northwest,Richmond,VA,23220,Richmond City,,,,N,12/15/2021,,61.04,1900,,501,10.00,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
7053-7095 Mechanicsville Tpke,Brandy Hill Plaza,Retail (Neighborhood Center),2,,,C,Existing,67830,2780,$14.13 - 17.27 (Est.),Storefront Retail/Office,Richmond,Mechanicsville,Cushman & Wakefield | Thalhimer,Richard Thalhimer,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,10/21/2011,"4,650,000",95.90,1987,,67830,4.60,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,
8501-8531 Midlothian Tpke,Midlothian Crossing Shopping Center,Retail (Neighborhood Center),2,,,C,Existing,23938,1600,$13.06 - 15.96 (Est.),,Richmond,Midlothian E/Hull St,"Divaris Real Estate, Inc.",Loretta Cataldi,Southwest,North Chesterfield,VA,23235-5123,Chesterfield,,,,N,9/8/2021,"1,806,688",93.32,1980,,23938,5.61,Multi,01/01/1900,,,,No,100-year and 500-year Floodplain,,Randy Harrell
14210 Midlothian Tpke,Winterfield Crossing 2B,Retail (Strip Center),4,,,A,Existing,22270,3000,$14.11 - 17.25 (Est.),,Richmond,Midlothian Village,Colliers | Virginia,Harrison Hall,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,86.53,2021,,22270,,,01/01/1900,,,,No,100-year and 500-year Floodplain,,Nolen Blackwood
2408 North Ave,,Retail,2,,,C,Existing,2680,1500,$13.44 - 16.43 (Est.),Storefront Retail/Residential,Richmond,Laburnum/Rte 360,,,Northeast,Richmond,VA,23222,Richmond City,,,,N,6/30/2017,"65,000",44.03,1920,,1500,,Single,04/02/2009,5101290033D,510129,0033D,No,100-year and 500-year Floodplain,,
5260 Oaklawn Blvd,The Crossings,Retail (Community Center),3,,,B,Existing,180260,6000,$8.50 - 10.39 (Est.),,Richmond,Prince George,"Divaris Real Estate, Inc.",Loretta Cataldi,Prince George,Hopewell,VA,23860-7336,Prince George,,,,N,1/11/2019,"10,932,077",96.67,1972,1999,180260,5.02,Multi,06/02/2015,51149C0040C,510080,0040C,No,100-year and 500-year Floodplain,"16'0""",Daniel Benzvi
5310 Oaklawn Blvd,Shoney's,Retail (Community Center),2,,,C,Existing,5010,5010,$13.68 - 16.72 (Est.),Restaurant,Richmond,Prince George,Cushman & Wakefield | Thalhimer,James Ashby,Prince George,Hopewell,VA,23860-7349,Prince George,,,,N,7/23/2018,"1,450,000",100.00,1990,,5010,9.58,Single,06/02/2015,51149C0040C,510080,0040C,No,100-year and 500-year Floodplain,,Mark Sweeney
2400-2470 Old Brick Rd,,Retail (Lifestyle Center),3,,,B,Existing,53438,8781,$20.10 - 24.57 (Est.),Storefront,Richmond,Short Pump,Colliers | Virginia,Harrison Hall,Northwest,Glen Allen,VA,23060-5841,Henrico,,,,N,10/14/2022,"8,284,217",94.85,2009,,26719,8.35,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,John Albright
3450-3528 Pump Rd,,Retail (Community Center),4,,,A,Existing,96386,1,$23.08 - 28.20 (Est.),Storefront,Richmond,Short Pump,S.L. Nusbaum Realty Co.,Robert Butcher,Northwest,Richmond,VA,23233-1111,Henrico,,,,N,,,100.00,1996,,96386,2.88,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,
5100-5118 Richmond Henrico Tpke,Meadowood Square Shopping Center,Retail (Neighborhood Center),2,,,C,Existing,40601,24286,$10.09 - 12.33 (Est.),Storefront,Richmond,Laburnum/Rte 360,Joyner Commercial,Todd Buttner,Northeast,Richmond,VA,23227-3627,Henrico,,,,N,11/18/2021,"2,300,000",100.00,1973,,40601,7.39,Multi,04/02/2009,5101290035D,51087C,0035D,No,100-year and 500-year Floodplain,,
10064 Robious Rd,Robious Hall,Retail (Neighborhood Center),2,,,C,Existing,63034,9640,$14.34 - 17.53 (Est.),Storefront,Richmond,Midlothian West,Cushman & Wakefield | Thalhimer,Alicia Brown,Southwest,Richmond,VA,23235,Chesterfield,,,,N,2/14/2002,"3,276,000",98.11,1981,2007,63034,6.06,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,"12'0""",David Reischer
400 Southpark Blvd,Dobbs Bldg,Retail (Strip Center),3,,,C,Existing,19435,2498,$17.41 - 21.28 (Est.),Retail Building,Richmond,Colonial Heights,Roslyn Farm Corp,Nick Walker,TriCities,Colonial Heights,VA,23834-2974,Colonial Heights,,,,N,,,87.15,1972,1992,19435,,Multi,12/18/2012,51041C0435D,510039,0435D,No,100-year and 500-year Floodplain,,Nick Walker
8409 Staples Mill Rd,Staples Mill Commercial Condo,Retail,2,,,C,Existing,15766,1300,$8.33 - 10.18 (Est.),Auto Repair,Richmond,Staples Mill/Parham,Joyner Commercial,Regina Nguyen,Northwest,Richmond,VA,23228-2750,Henrico,,,,N,12/21/2018,"1,250,000",100.00,1988,,15766,2.98,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,"15'0""",Ken Tran
8801 Staples Mill Rd,,Retail,3,,,C,Existing,3564,3564,$15.94 - 19.48 (Est.),Fast Food,Richmond,Staples Mill/Parham,,,Northwest,Richmond,VA,23228,Henrico,Matthews Real Estate Investment Services,Edward Desimone,1300000,Y,11/22/2021,"2,000,000",0.00,1993,,3564,12.35,Single,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,
9117-9197 Staples Mill Rd,Staples Mill Plaza,Retail (Neighborhood Center),3,,,C,Existing,67440,3844,$18.37 - 22.46 (Est.),Retail Building,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,Richard Thalhimer,Northwest,Richmond,VA,23228-2026,Henrico,,,,N,,,94.30,1986,,67440,6.27,Multi,12/02/2008,51085C0295B,51087C,0295B,Yes,100-year Floodplain,,Robert Axelrod
3002-3054 Stony Point Rd,,Retail (Neighborhood Center),3,,,B,Existing,46337,14859,$15.78 - 19.29 (Est.),,Richmond,Midlothian West,"Ziff Properties, Inc.",Josh Owens,Southwest,Richmond,VA,23235,Richmond City,,,,N,2/14/2019,"3,395,012",74.41,1984,,46337,5.10,Multi,12/18/2012,51041C0040D,510129,0040D,No,100-year and 500-year Floodplain,,Christian Chamblee
1220 Sycamore Sq,,Retail (Neighborhood Center),3,,,B,Existing,38071,38071,$7.76 - 9.49 (Est.),Supermarket,Richmond,Midlothian Village,S.L. Nusbaum Realty Co.,Robert Butcher,Southwest,Midlothian,VA,23113,Chesterfield,,,,N,,,0.00,1975,,38071,5.73,Single,12/18/2012,51041C0020D,51041C,0020D,No,100-year and 500-year Floodplain,,Andrew Thacker
101-271 Wadsworth Dr,Midlothian Center Shops,Retail (Community Center),3,,,C,Existing,148869,7171,$12.49 - 15.27 (Est.),Storefront,Richmond,Midlothian E/Hull St,Cushman & Wakefield | Thalhimer,James Ashby,Southwest,Richmond,VA,23236,Chesterfield,,,,N,4/1/2009,"7,000,000",95.18,1988,,146332,5.13,Multi,12/18/2012,51041C0131D,51041C,0131D,No,100-year and 500-year Floodplain,,
203-259 N Washington Hwy,,Retail (Community Center),3,,,B,Existing,158821,18425,$12.70 - 15.52 (Est.),,Richmond,I-95 Ashland/NW,Silver Bears Real Estate,Taylor Parrett,Northwest,Ashland,VA,23005,Hanover,,,,N,11/9/2022,"13,538,570",88.40,1983,1999,158821,3.17,Multi,03/02/2009,51033C0475C,51085C,0475C,No,100-year and 500-year Floodplain,,
13530-13570 Waterford Pl,Village at Waterford,Retail (Neighborhood Center),3,,,B,Existing,79162,4729,$12.56 - 15.36 (Est.),,Richmond,Swift Creek,Phillips Edison & Company,Scott Faloni,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,,,100.00,1991,,79162,5.26,Multi,12/18/2012,51041C0109D,51041C,0109D,No,100-year and 500-year Floodplain,,
315-327 N 2nd St,Condos,Retail,2,,,C,Existing,10712,700,$15.00,Restaurant,Richmond,Downtown,Urban Realty LLC,John McKee,Downtown,Richmond,VA,23219,Richmond City,,,,N,,,93.47,1910,,5356,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
105 N 17th St,,Retail,2,,,C,Existing,2204,1102,$17.40,Storefront Retail/Residential,Richmond,Downtown,,,Downtown,Richmond,VA,23219,Richmond City,,,,N,10/13/2021,"395,000",50.00,1911,,1102,0.00,Multi,07/16/2014,5101290041D,510129,0041D,Yes,100-year Floodplain,"14'0""",
1111 N 25th St,Tasti Bake Building,Retail,1,,,C,Existing,5192,3246,$24.00,Storefront Retail/Residential,Richmond,East End,S.L. Nusbaum Realty Co.,"Thomas Langston, CCIM",Southeast,Richmond,VA,23223,Richmond City,,,,N,,,100.00,1968,,2596,1.54,Multi,07/16/2014,5101290041D,510129,0041D,No,100-year and 500-year Floodplain,,
8188-8196 Atlee Rd,,Retail (Strip Center),2,,,C,Existing,8550,2100,$16.00,,Richmond,I-95 Chamberlayne/NE,Colliers | Virginia,Maddy Spear,Northeast,Mechanicsville,VA,23116,Hanover,,,,N,,,85.96,,,8550,5.61,Multi,12/02/2008,51085C0320B,51085C,0320B,No,100-year and 500-year Floodplain,,
12100-12256 Bermuda Crossroads Ln,Bermuda Crossroads,Retail (Community Center),4,,,B,Existing,92197,13600,$22.00,Storefront,Richmond,South Chesterfield,Cushman & Wakefield | Thalhimer,Alex Wotring,Southwest,Chester,VA,23831,Chesterfield,,,,N,6/1/2020,"9,795,547",91.76,2001,,92197,6.54,Multi,12/18/2012,51041C0335D,51041C,0335D,No,100-year and 500-year Floodplain,,
12200-12260 Branders Creek Rd,Branders Creek Corner,Retail (Neighborhood Center),4,,,A,Existing,27812,3497,$21.50,Storefront Retail/Office,Richmond,South Chesterfield,Commonwealth Commercial Partners,Tucker Dowdy,Southwest,Chester,VA,23831,Chesterfield,,,,N,2/17/2016,"6,210,000",87.43,2014,,27812,3.64,Multi,12/18/2012,51041C0326D,51041C,0326D,No,100-year and 500-year Floodplain,,Yong Kim
7147 Brandy Run Dr,,Retail,2,,,C,Existing,25374,3600,$15.00,Freestanding,Richmond,Mechanicsville,Cushman & Wakefield | Thalhimer,Nicki Jassy,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,,,100.00,1990,,25374,2.56,Single,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,Jim Pace
20-22 E Broad St,,Retail,3,,,B,Existing,7980,1441,$21.00,Storefront Retail/Residential,Richmond,Downtown,Cushman & Wakefield | Thalhimer,Reilly Marchant,Downtown,Richmond,VA,23219,Richmond City,,,,N,3/31/2017,"440,000",81.94,1915,,2660,,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,Collin Harkrader
301 E Broad St,,Retail,2,,,C,Existing,19700,19700,$24.00,Storefront,Richmond,Downtown,Maverick Management,Jerald Goldfine,Downtown,Richmond,VA,23219-1737,Richmond City,,,,N,,,100.00,1956,,9850,,Single,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
1811 W Broad St,,Retail,2,,,C,Existing,1100,1100,$25.00,Storefront,Richmond,Near West End,,,Northwest,Richmond,VA,23220,Richmond City,,,,N,,,0.00,1950,,1100,2.00,,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,
2711 W Broad St,,Retail,2,,,C,Existing,8550,1500,$15.00,Storefront Retail/Office,Richmond,Near West End,Cushman & Wakefield | Thalhimer,Reilly Marchant,Northwest,Richmond,VA,23220-1905,Richmond City,,,,N,5/7/2015,,82.46,1926,,4275,0.81,Multi,04/02/2009,5101290036D,510129,0036D,No,100-year and 500-year Floodplain,,Harpreet Grewal
3716 W Broad St,,Retail,2,,,C,Existing,3294,3294,$45.00,Auto Repair,Richmond,Willowlawn,Commonwealth Commercial Partners,Ben Bruni,Northwest,Richmond,VA,23230,Richmond City,Commonwealth Commercial Partners,Ben Bruni,1995000,Y,5/17/2018,"1,100,000",0.00,1937,,3294,7.59,Single,04/02/2009,5101290028D,510129,0028D,No,100-year and 500-year Floodplain,,
7601 W Broad St,,Retail (Strip Center),2,,,C,Existing,15220,2895,$16.00,Freestanding,Richmond,Broad St Corridor,Cushman & Wakefield | Thalhimer,Bruce Bigger,Northwest,Richmond,VA,23294,Henrico,,,,N,9/26/2014,"1,900,000",80.98,1961,2001,15220,4.04,Multi,12/18/2012,51041C0050D,51087C,0050D,No,100-year and 500-year Floodplain,,Ming Chen
9011-9019 W Broad St,,Retail (Strip Center),2,,,A,Existing,16100,4086,$14.00,Storefront,Richmond,Broad St Corridor,Commonwealth Commercial Partners,James McVey,Northwest,Richmond,VA,23294-5809,Henrico,,,,N,,,74.62,1988,,16100,2.47,Multi,12/02/2008,51085C0295B,51087C,0295B,No,100-year and 500-year Floodplain,,Philip Huss
11341 W Broad St,Building E,Retail (Neighborhood Center),3,,,B,Existing,10800,1600,$43.00,Freestanding,Richmond,Short Pump,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Glen Allen,VA,23060-5807,Henrico,,,,N,8/26/2021,"9,537,101",85.19,2008,,10800,3.33,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,
11736 W Broad St,Parc Place,Retail (Neighborhood Center),3,,,A,Existing,26412,2439,$28.00,Freestanding,Richmond,Short Pump,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23233-1189,Henrico,,,,N,1/25/2023,"6,878,059",90.77,2005,,26412,5.09,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,Dipen Patel
11740 W Broad St,Parc Place,Retail (Neighborhood Center),3,,,B,Existing,56556,3865,$25.00,Storefront,Richmond,Short Pump,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23233-1190,Henrico,,,,N,1/25/2023,"10,771,941",93.17,2005,,56556,4.80,Multi,12/02/2008,51085C0290B,51087C,0290B,No,100-year and 500-year Floodplain,,Dipen Patel
1600 Brook Rd,,Retail,2,,,C,Existing,5260,3160,$17.00 - 20.00,Restaurant,Richmond,Laburnum/Rte 360,Seven Hills Holdings,Audra Scott,Northeast,Richmond,VA,23220,Richmond City,,,,N,11/17/2021,"700,000",39.92,1900,,2630,4.75,Multi,04/02/2009,5101290037D,510129,0037D,No,100-year and 500-year Floodplain,,David Kohler
5936-5948 Brook Rd,,Retail (Neighborhood Center),3,,,B,Existing,8820,2500,$14.00,Freestanding,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northwest,Richmond,VA,23227-2258,Henrico,,,,N,,,100.00,2004,,8820,3.97,Multi,04/02/2009,5101290027D,51087C,0027D,No,100-year and 500-year Floodplain,,Fen Chan
7721 Brook Rd,Brook Commons Center,Retail,4,,,B,Existing,7225,2273,$28.00,Storefront,Richmond,Staples Mill/Parham,CBRE,Susan Jones,Northwest,Richmond,VA,23227-1801,Henrico,,,,N,,,68.54,2021,,6200,0.00,Multi,12/02/2008,51085C0315B,51087C,0315B,No,100-year and 500-year Floodplain,,Michael Berry
8191 Brook Rd,,Retail (Neighborhood Center),2,,,C,Existing,27004,1556,$13.50,Storefront,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,Connie Nielsen,Northwest,Richmond,VA,23227-1107,Henrico,,,,N,10/8/2007,"3,412,540",97.86,1984,,13502,4.37,Multi,12/02/2008,51085C0315B,51087C,0315B,No,100-year and 500-year Floodplain,,
9921 Brook Rd,,Retail,3,,,B,Existing,14872,7110,$20.00,,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Glen Allen,VA,23059-6502,Henrico,,,,N,,,52.19,2005,,14872,,,12/02/2008,51085C0315B,51087C,0315B,No,100-year and 500-year Floodplain,,Ross Sternheimer
5 E Brookland Park Blvd,,Retail,2,,,C,Existing,3623,3623,$20.00,Freestanding,Richmond,Laburnum/Rte 360,Joyner Commercial,Todd Buttner,Northeast,Richmond,VA,23222-2709,Richmond City,Joyner Commercial,Todd Buttner,599000,N,,,100.00,1926,,3623,2.48,,04/02/2009,5101290033D,510129,0033D,No,100-year and 500-year Floodplain,,
107 W Brookland Park Blvd,,Retail,2,,,C,Existing,2103,1200,$20.00,Storefront Retail/Office,Richmond,Laburnum/Rte 360,,,Northeast,Richmond,VA,23222,Richmond City,,,,N,,,42.94,1920,,1052,,Multi,04/02/2009,5101290033D,510129,0033D,No,100-year and 500-year Floodplain,,Jerold Schmeer
11500-1155 Busy St,Courthouse Place,Retail (Strip Center),3,,,B,Existing,21660,1323,$22.00,Freestanding,Richmond,Midlothian West,Taylor Long Properties Inc.,Ellen Long,Southwest,North Chesterfield,VA,23236-4075,Chesterfield,,,,N,9/5/2018,"5,000,000",93.89,2008,,21660,4.56,Multi,12/18/2012,51041C0040D,51041C,0040D,No,100-year and 500-year Floodplain,,George Calomiris
5214 Chamberlayne Rd,,Retail (Community Center),2,,,C,Existing,2544,2544,$15.00,Bank,Richmond,Laburnum/Rte 360,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northeast,Richmond,VA,23227,Henrico,,,,N,,,0.00,1963,,2544,5.90,Single,04/02/2009,5101290027D,51087C,0027D,No,100-year and 500-year Floodplain,,Michael Jacoby
5300-5332 Chamberlayne Rd,,Retail (Community Center),3,,,C,Existing,66541,5220,$15.00,,Richmond,Laburnum/Rte 360,Cushman & Wakefield | Thalhimer,Annie O'Connor,Northeast,Richmond,VA,23227,Henrico,,,,N,3/30/2012,"4,131,416",92.16,1963,,66541,3.38,Multi,04/02/2009,5101290027D,51087C,0027D,No,100-year and 500-year Floodplain,,Jonathan Cutler
800 W City Point Rd,,Retail,2,,,C,Existing,5036,2000,$90.00,Freestanding,Richmond,Hopewell,"KRS Holdings, Inc.",James Bristol,TriCities,Hopewell,VA,23860,Hopewell City,,,,N,8/29/2017,,60.29,1970,,2518,,Multi,07/16/2015,5100800016D,510080,0016D,No,100-year and 500-year Floodplain,,Elias Fakher
4320 Commerce Rd,The Shoppes at Bells,Retail,3,,,B,Existing,9400,4900,$22.00,Storefront Retail/Office,Richmond,Jeff Davis Corridor,Elite Management Group,Zeel Desai,Southwest,Richmond,VA,23234,Richmond City,,,,N,,,47.87,2022,,9400,0.00,Multi,12/18/2012,51041C0158D,510129,0158D,No,100-year and 500-year Floodplain,,
6805-6835 Commons Dr,,Retail (Strip Center),2,,,C,Existing,11804,1860,$20.65,Storefront,Richmond,Prince George,Chappell Real Estate Inc.,Josh Chappell,Prince George,Prince George,VA,23875,Prince George,,,,N,10/31/2019,"1,712,500",84.24,2010,,11804,0.00,Multi,05/16/2012,51149C0160B,51149C,0160B,No,100-year and 500-year Floodplain,,
5201 Commonwealth Centre Pky,Commonwealth Plaza,Retail (Strip Center),3,,,B,Existing,16800,7600,$25.00,Freestanding,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,Annie O'Connor,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,4/20/2022,"3,600,000",100.00,2008,,16800,4.88,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,Rehan Zaheer
1961 S Crater Rd,,Retail (Strip Center),2,,,C,Existing,18165,1400,$14.58,Freestanding,Richmond,Petersburg,"Specter Properties, Inc.",Mark Specter,TriCities,Petersburg,VA,23805-2705,Petersburg,,,,N,,,92.29,1958,,18165,3.30,Multi,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,
2053 S Crater Rd,,Retail,2,,,C,Existing,2904,2904,$18.00,Restaurant,Richmond,Petersburg,Taylor Long Properties Inc.,Rebecca von Meister,TriCities,Petersburg,VA,23805,Petersburg,Taylor Long Properties Inc.,Rebecca von Meister,679000,Y,12/4/2018,,0.00,1989,,2904,,Single,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,Worth Carter
2120-2130 S Crater Rd,Walnut Hill Market,Retail (Neighborhood Center),3,,,B,Existing,50328,5600,$18.00,Freestanding,Richmond,Petersburg,Cushman & Wakefield | Thalhimer,Annie O'Connor,TriCities,Petersburg,VA,23805,Petersburg,,,,N,11/1/2019,"6,750,000",97.22,2007,,50328,5.94,Multi,12/18/2012,51041C0435D,510112,0435D,No,100-year and 500-year Floodplain,,Hilbert Eshaghpour
8005 Creighton Pky,Creighton Crossing II,Retail (Neighborhood Center),3,,,B,Existing,17315,1200,$18.50,,Richmond,Mechanicsville,CBRE,Susan Jones,Northeast,Mechanicsville,VA,23111,Hanover,,,,N,,,93.07,2004,,17315,6.36,Multi,12/02/2008,51085C0430B,51085C,0430B,No,100-year and 500-year Floodplain,,
7017-7019 Forest Hill Ave,,Retail (Power Center),2,,,C,Existing,5280,2700,$25.00,,Richmond,Midlothian E/Hull St,Cushman & Wakefield | Thalhimer,James Ashby,Southwest,Richmond,VA,23225,Richmond City,,,,N,,,48.86,1975,,5280,3.30,Multi,12/18/2012,51041C0045D,510129,0045D,No,100-year and 500-year Floodplain,,
1123-1127 Gaskins Rd,Gaskins Place,Retail (Strip Center),2,,,C,Existing,19768,880,$16.00,Storefront,Richmond,Regency,"Dodson Commercial Properties, LLC",Rowland Williams,Northwest,Richmond,VA,23238-5231,Henrico,,,,N,,,95.55,1985,,6589,5.72,Multi,12/18/2012,51041C0050D,51087C,0050D,Yes,100-year Floodplain,,Lex Lutto
4000-4018 Glenside Dr,Staples Mill Road Shopping Center,Retail (Neighborhood Center),3,,,C,Existing,48031,24570,$16.00 - 24.00,,Richmond,Staples Mill/Parham,Cushman & Wakefield | Thalhimer,James Ashby,Northwest,Richmond,VA,23228,Henrico,,,,N,,,80.08,1967,1995,48031,4.23,Multi,04/02/2009,5101290026D,51087C,0026D,No,100-year and 500-year Floodplain,,Marianne Metzger
6101-6121 Harbourside Centre Loop,Building A,Retail (Strip Center),3,,,C,Existing,8000,3643,$23.00,Retail Building,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,Nicki Jassy,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,1/11/2019,,77.96,2004,,8000,7.19,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,John Morgan Jr
6161-6181 Harbourside Centre Loop,Building C,Retail (Strip Center),3,,,C,Existing,8000,1515,$20.00,Retail Building,Richmond,Swift Creek,Cushman & Wakefield | Thalhimer,Nicki Jassy,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,1/11/2019,,81.06,2004,,8000,6.68,Multi,12/18/2012,51041C0117D,51041C,0117D,No,100-year and 500-year Floodplain,,John Morgan Jr
400 Hull St,The Current - Retail Space,Retail,5,,,A,Existing,14358,1095,$25.00,,Richmond,Jeff Davis Corridor,Cushman & Wakefield | Thalhimer,Annie O'Connor,Southwest,Richmond,VA,23224-4104,Richmond City,,,,N,,,92.37,2022,,14358,,,07/16/2014,5101290043D,510129,0043D,No,100-year and 500-year Floodplain,,Rick Gregory
3901-3920 Hull Street Rd,Plaza View Shopping Center,Retail (Strip Center),2,,,C,Existing,16385,3900,$16.00,,Richmond,Jeff Davis Corridor,Partner Commercial,Yasmine Hamad,Southwest,Richmond,VA,23224-1713,Richmond City,,,,N,7/29/2016,"538,697",91.46,1969,,16385,1.87,Multi,04/02/2009,5101290038D,510129,0038D,No,100-year and 500-year Floodplain,,Atallah Mahases
11800-11844 Hull Street Rd,The Corner Shoppes,Retail (Strip Center),2,,,B,Existing,17250,1065,$13.00,,Richmond,Midlothian E/Hull St,The Wilton Companies,Doug Mallory,Southwest,Midlothian,VA,23112,Chesterfield,,,,N,,,100.00,1990,,17250,4.17,Multi,12/18/2012,51041C0140D,51041C,0140D,No,100-year and 500-year Floodplain,"14'0""",Brian Barry
